Site,Abbreviation,Latitude,Longitude,Project,updated
Bedwell Bay,BB,49.32689,-122.91337,Nicole,yes
Belcarra Bay,BC,49.31164,-122.92947,Nicole,yes
Best Point,BP,49.38022,-122.88079,Both,yes
Boulder Island,BI,49.31158,-122.93957,Both,yes
Cates Park,CP,49.29998,-122.95832,Nicole,yes
Grey Rocks Island,GR,49.31603,-122.94013,Nicole,yes
Jug Island,JI,49.33055,-122.91578,Both,yes
Lone Rock Point,LR,49.34112,-122.9193,Nicole,yes
Moody Inlet,MI,49.29269,-122.87611,Nicole,yes
Twin Islands,TI,49.35054,-122.89241,Both,yes